,age,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
59,18 ans,Femme,40701,39624,39108,39009,38580,38875,39856,40345,40658,40855,41017,41656,42120,42319,43083,44036,44671,45337,45667
60,19 ans,Sexe - Total,87842,84990,82806,81244,80755,80240,80554,82713,84333,85117,85492,85868,86883,87353,88027,89968,92419,93661,95181
61,19 ans,Homme,44822,43337,42265,41235,41037,41101,41181,42257,43297,43412,43592,44038,44401,44423,44877,45955,47261,47882,48712
62,19 ans,Femme,43020,41653,40541,40009,39718,39139,39373,40456,41036,41705,41900,41830,42482,42930,43150,44013,45158,45779,46469
63,20 ans,Sexe - Total,93067,88981,85994,83816,81912,81298,81020,81668,83968,85949,87074,87397,87760,88498,89023,90038,92483,94625,95690
64,20 ans,Homme,47198,45141,43620,42538,41408,41193,41344,41640,42775,43751,44215,44305,44810,45072,45154,45733,47107,48183,48774
65,20 ans,Femme,45869,43840,42374,41278,40504,40105,39676,40028,41193,42198,42859,43092,42950,43426,43869,44305,45376,46442,46916
66,21 ans,Sexe - Total,97019,93819,90005,87248,84577,82349,81868,82017,82773,85907,87948,89032,89250,89418,90057,90952,92298,94498,96411
67,21 ans,Homme,49126,47289,45490,44145,42734,41507,41404,41767,42077,43299,44556,44966,45051,45480,45783,45978,46828,47996,48944
68,21 ans,Femme,47893,46530,44515,43103,41843,40842,40464,40250,40696,42608,43392,44066,44199,43938,44274,44974,45470,46502,47467
69,22 ans,Sexe - Total,100946,98042,95054,91242,87898,84909,82871,82981,83264,85686,88435,90175,90688,90748,91073,92051,93314,94497,96337
70,22 ans,Homme,50975,49271,47677,45894,44227,42715,41636,41778,42225,43286,44464,45422,45677,45662,46209,46641,47063,47716,48708
71,22 ans,Femme,49971,48771,47377,45348,43671,42194,41235,41203,41039,42400,43971,44753,45011,45086,44864,45410,46251,46781,47629
72,23 ans,Sexe - Total,105938,102134,99243,96310,91925,88315,85670,83985,84369,86763,88429,90721,91871,92465,92695,93400,94845,96145,96812
73,23 ans,Homme,53347,51168,49649,48129,46008,44291,42940,41994,42322,43777,44457,45412,46146,46473,46621,47286,48011,48361,48694
74,23 ans,Femme,52591,50966,49594,48181,45917,44024,42730,41991,42047,42986,43972,45309,45725,45992,46074,46114,46834,47784,48118
75,24 ans,Sexe - Total,110502,107161,103521,100551,96900,92325,89118,86820,85578,88442,89459,90731,92582,93675,94503,95073,96322,97820,98758
76,24 ans,Homme,55876,53617,51672,50094,48172,46061,44586,43405,42681,44322,45039,45485,46242,46965,47519,47770,48730,49350,49600
77,24 ans,Femme,54626,53544,51849,50457,48728,46264,44532,43415,42897,44120,44420,45246,46340,46710,46984,47303,47592,48470,49158
78,25 ans,Sexe - Total,115089,111707,108541,104863,101249,97322,93179,90398,88488,89736,91085,91854,92544,94483,95849,97119,98146,99390,100609
79,25 ans,Homme,58397,56056,54031,52044,50133,48216,46328,45062,44121,44906,45608,45970,46211,47086,47986,48726,49276,50141,50689
80,25 ans,Femme,56692,55651,54510,52819,51116,49106,46851,45336,44367,44830,45477,45884,46333,47397,47863,48393,48870,49249,49920
81,26 ans,Sexe - Total,119383,116394,113071,109959,105691,101517,98067,94413,92078,92700,92493,93538,93844,94581,96961,98471,100244,101433,102104
82,26 ans,Homme,60860,58649,56529,54587,52230,50091,48512,46926,45820,46524,46230,46694,46928,47129,48385,49362,50346,50879,51382
83,26 ans,Femme,58523,57745,56542,55372,53461,51426,49555,47487,46258,46176,46263,46844,46916,47452,48576,49109,49898,50554,50722
84,27 ans,Sexe - Total,122768,120477,117627,114339,110570,105926,102335,99357,96048,96309,95349,94926,95351,95797,96871,99516,101897,103818,104167
85,27 ans,Homme,62858,61070,59070,56960,54664,52174,50459,49142,47714,48326,47775,47286,47479,47895,48377,49742,51181,52070,52192
86,27 ans,Femme,59910,59407,58557,57379,55906,53752,51876,50215,48334,47983,47574,47640,47872,47902,48494,49774,50716,51748,51975
87,28 ans,Sexe - Total,124040,123848,121659,118749,114966,110748,106695,103545,100949,99973,98815,97710,96619,97199,97916,99460,102565,105113,106435
88,28 ans,Homme,63479,63143,61519,59515,57140,54539,52495,51045,49921,50147,49564,48876,48097,48408,48976,49707,51305,52709,53304
89,28 ans,Femme,60561,60705,60140,59234,57826,56209,54200,52500,51028,49826,49251,48834,48522,48791,48940,49753,51260,52404,53131
90,29 ans,Sexe - Total,122414,124882,124936,122695,119348,114892,111422,107954,105157,104427,102136,100789,99215,98294,99115,100159,102202,105596,107621
91,29 ans,Homme,62788,63651,63550,61947,59642,56891,54833,53170,51844,52065,51109,50429,49488,48921,49413,50144,51160,52851,53952
92,29 ans,Femme,59626,61231,61386,60748,59706,58001,56589,54784,53313,52362,51027,50360,49727,49373,49702,50015,51042,52745,53669
93,30 ans,Sexe - Total,120030,123233,125875,125801,123145,119238,115343,112332,109317,109039,106877,104044,102298,100692,99988,101110,102757,104972,107906
94,30 ans,Homme,61615,62949,64058,63922,62092,59402,57068,55339,53911,54528,53403,52009,51124,50312,49885,50472,51565,52632,54056
95,30 ans,Femme,58415,60284,61817,61879,61053,59836,58275,56993,55406,54511,53474,52035,51174,50380,50103,50638,51192,52340,53850
96,31 ans,Sexe - Total,118119,120652,124006,126622,126031,122897,119434,116084,113488,112406,110953,108793,105462,103644,102439,101970,103543,105274,106899
97,31 ans,Homme,60531,61650,63186,64349,63913,61791,59504,57511,56000,56058,55456,54413,52780,51856,51239,50995,51839,52831,53470
98,31 ans,Femme,57588,59002,60820,62273,62118,61106,59930,58573,57488,56348,55497,54380,52682,51788,51200,50975,51704,52443,53429
99,32 ans,Sexe - Total,116289,118482,121183,124467,126853,125804,123161,120118,117151,116971,114443,112696,110050,106664,105080,104115,104179,105946,107213
