,annee,Canton,Mode,Eaux-de-vie,Vins,Bières,"Boissons alcoolisées dans les restaurants, cafés et bars",Boissons alcoolisées en petite restauration,Boissons alcoolisées dans les cantines,Boissons alcoolisées chez des privés lors d'invitations,Automobiles,"Motos, scooters et vélomoteurs",Vélos,Carburants et lubrifiants,"Train, billets et abonnements","Tram, billets et abonnements","Bus, billets et abonnements","Bateau, billets et abonnements",Transport multimodal,Services de téléphonie mobile,Assurance véhicule
Unnamed: 9,2009–2011,Zurich,Tot,7.275282964766955,58.18286775420799,9.131461239516632,62.29495988798312,10.523912187642734,( ),9.599401753075146,199.97346040383832,( ),18.136661134141026,122.81935357245162,39.79199050353708,3.8660013169845233,3.533549864999885,4.698557254653512,88.16767459587118,66.34780357710237,98.41158948389511
Unnamed: 11,2009–2011,Zurich,Pct,0.0007008607934715014,0.005605017847160515,0.0008796748113957228,0.006001154213218392,0.0010138158861965247,( ),0.0009247536298029719,0.019264344604961417,( ),0.001747186298451416,0.011831741805138523,0.003833341764599363,0.0003724293286880334,0.00034040278215271663,0.0004526331940098255,0.00849358941432992,0.006391582909604233,0.009480431898868935
Unnamed: 12,2009–2011,Berne,Tot,6.71642564565875,48.65447128288663,8.426357947954276,45.62072564842631,6.635069131006569,0.4346456607717597,9.123055209305596,152.27066349428213,( ),15.139123076220287,129.8130467797649,32.74047459646549,1.8598559969153812,4.663640444929266,4.153844338709409,84.15598116350915,60.779454083450275,97.7249697758372
Unnamed: 14,2009–2011,Berne,Pct,0.0007634660625028016,0.005530625897349273,0.0009578366028546816,0.005185775532531556,0.0007542181468438827,4.940681676835523e-05,0.001037031213640581,0.017308832111885383,( ),0.001720886568917502,0.014756041518973528,0.003721658296149405,0.00021141258903163823,0.0005301229247911583,0.00047217364545289805,0.00956613516841257,0.006908890671655813,0.011108542224566824
Unnamed: 15,2009–2011,Lucerne,Tot,6.948564257722948,51.79202222159565,8.673205856173201,63.05935842347686,11.460512386773209,( ),12.35301432889411,205.3438975253849,( ),13.852278461125273,141.10675001459535,21.597190757805876,( ),8.910590620400196,( ),57.79933098011669,50.93181450889203,107.43534557774137
Unnamed: 17,2009–2011,Lucerne,Pct,0.0007682185426985355,0.005726016247207134,0.000958891263896468,0.0069717090660485525,0.0012670499685686965,( ),0.0013657230923826821,0.022702386256795316,( ),0.0015314785584133355,0.01560046332458643,0.0023877396531094205,( ),0.000985136020492136,( ),0.00639017157611295,0.005630913504977076,0.011877824188257913
Unnamed: 18,2009–2011,Saint-Gall,Tot,5.059274480601428,37.89057011641865,10.172670411490763,57.295320551723,8.121928433808222,( ),8.236382951279742,223.75150555037123,( ),18.01758031626034,153.6368802243183,32.19844655633077,( ),6.369748075637063,( ),57.34245935304939,58.903035518053045,106.96168166534291
Unnamed: 20,2009–2011,Saint-Gall,Pct,0.0005509422562965204,0.004126187711764474,0.0011077782023009206,0.0062393161906974,0.0008844575628300815,( ),0.0008969213716905948,0.02436597575212218,( ),0.0019620691445988124,0.01673066953882326,0.003506329783648939,( ),0.0006936495322180508,( ),0.006244449487509314,0.006414392303770091,0.011647857901350478
Unnamed: 21,2009–2011,Argovie,Tot,5.878449772240965,49.648067150971976,8.78777693476487,51.96629728852908,10.268198392108925,( ),7.387346373562848,291.46127622220195,( ),10.18720468547158,153.25450069793447,24.331581086545864,( ),4.19508541743106,( ),66.68724501675263,60.822388850307085,117.15306259248887
Unnamed: 23,2009–2011,Argovie,Pct,0.0005960484710698445,0.005034091582554867,0.0008910412113758104,0.005269149732682122,0.0010411493147665667,( ),0.000749043826489465,0.02955286764355259,( ),0.0010329369157705869,0.015539319780689934,0.0024671133151179235,( ),0.0004253628670733646,( ),0.0067617878815255375,0.0061671177411831155,0.01187879569357668
Unnamed: 24,2009–2011,Tessin,Tot,5.217215341684017,43.37314066439078,7.161000017775171,43.04827121880106,3.2696091763930513,( ),4.886047509180783,185.9440143694711,( ),( ),185.5927224126726,11.422947522777267,( ),4.56537715161774,( ),19.552640679410374,90.929220291596,134.75722019969453
Unnamed: 26,2009–2011,Tessin,Pct,0.0006070893739299509,0.005047016672081899,0.0008332734481494968,0.005009213979377946,0.0003804606208283091,( ),0.0005685537837859504,0.02163695149166433,( ),( ),0.02159607420365678,0.00132920525718594,( ),0.0005312397083910859,( ),0.002275198474922268,0.010580771504238008,0.01568071683565327
Unnamed: 27,2009–2011,Vaud,Tot,7.759730802385281,65.53610888116057,9.073949356302705,47.17090839615343,4.488087120730839,0.9827617933160545,9.671129314417474,179.41420494610787,( ),( ),179.78911589420923,32.24200916743251,1.846170904925576,8.789269818529469,( ),36.68974128253824,78.23912770724145,123.12394193790063
Unnamed: 29,2009–2011,Vaud,Pct,0.0007864049698260074,0.006641715162510619,0.0009195936111021351,0.0047805056307545545,0.0004548423272196377,9.959736724130907e-05,0.0009801144331385877,0.018182618188717373,( ),( ),0.01822061329967386,0.003267545858504602,0.0001870990130656809,0.0008907429448852314,( ),0.0037182984334133496,0.007929094504787876,0.012477917380171292
Unnamed: 30,2009–2011,Genève,Tot,( ),61.2794907218799,8.682133382224421,60.73334985321564,2.9885839326430355,( ),7.632257490546019,( ),( ),( ),125.56785214702077,32.194932258261005,4.58478881646493,11.697380840527373,( ),22.04652627749329,99.62214025841874,106.86472881530716
Unnamed: 32,2009–2011,Genève,Pct,( ),0.006115945127696881,0.0008665126085662895,0.006061438023519028,0.00029827296418824794,( ),0.0007617306779601933,( ),( ),( ),0.01253218792269974,0.0032131866104288353,0.0004575807744689043,0.0011674467022438002,( ),0.0022003339678757033,0.009942699199141126,0.010665539315379221
Unnamed: 9,2012–2014,Zurich,Tot,10.178491310234097,54.02757759188823,8.924972666449927,61.38017264812113,7.103224989689983,( ),10.507461418096488,157.35375898428163,( ),13.729119534662361,145.56792841833135,30.942814149087052,3.396024386459847,3.2346630608008535,2.872951944381505,100.99495054880343,63.9983591640997,102.06700191362067
Unnamed: 11,2012–2014,Zurich,Pct,0.0009437535685670101,0.005009457452904467,0.0008275268452463236,0.00569119285072035,0.0006586137108172376,( ),0.000974255801538889,0.0145899001180592,( ),0.0012729691620498769,0.013497113445052169,0.0028690294449968978,0.00031488066708270924,0.0002999191838650283,0.00026638119218173374,0.009364290058571539,0.0059339520959087195,0.009463691067070325
Unnamed: 12,2012–2014,Berne,Tot,5.74242303016821,53.05798000810406,9.774868979030657,49.800865123725195,6.970922623257051,( ),9.826892864790493,180.49967160366396,( ),10.37742897053764,140.42401464351855,30.23796648707031,1.4342814581729466,6.174286045566526,3.0638351252769978,91.68464305150835,55.95667550063865,95.5054349134308
Unnamed: 14,2012–2014,Berne,Pct,0.0006174927884783257,0.005705417356768947,0.001051108751682322,0.0053551740985166105,0.000749595497630127,( ),0.0010567029710765658,0.019409445272913592,( ),0.0011159030810841085,0.015100039811766972,0.003251541404372688,0.00015423079289301832,0.0006639317735927945,0.00032945954782605334,0.00985900996862947,0.0060171191511563075,0.010269866397809102
Unnamed: 15,2012–2014,Lucerne,Tot,8.703803893463878,41.899912960743144,7.419281590910906,56.1061149110496,8.72177723068515,( ),10.015867862157313,175.4091509300962,( ),( ),147.59549799164682,27.25156059887795,( ),9.100391494661093,( ),65.90997612136267,56.028287659342574,102.96248656636419
Unnamed: 17,2012–2014,Lucerne,Pct,0.0009047694738440805,0.0043555395626586535,0.0007712420435334561,0.005832289041533487,0.0009066378209552931,( ),0.0010411598890160032,0.018233963809046693,( ),( ),0.015342705637007648,0.0028328280883020114,( ),0.0009459951677659929,( ),0.006851410618428901,0.005824198817714154,0.010703057644288612
Unnamed: 18,2012–2014,Saint-Gall,Tot,8.90545668942189,41.01543126513057,8.464114146484155,47.91724509632974,5.655788745215221,( ),6.428813837570012,239.42966530954638,( ),( ),172.0254306003323,24.914861832561982,( ),5.36779620374031,( ),61.234328844561276,64.34075260241127,108.21955811321058
Unnamed: 20,2012–2014,Saint-Gall,Pct,0.0009121800965134769,0.004201183763479448,0.0008669736688756169,0.004908132034210974,0.0005793187371960783,( ),0.0006584991911518099,0.024524623815157694,( ),( ),0.017620452196929398,0.0025520129807651308,( ),0.0005498198497791322,( ),0.0062721922011835535,0.006590381152303063,0.01108485846454243
Unnamed: 21,2012–2014,Argovie,Tot,7.009303750177684,53.03860960642136,9.457528285130277,49.846289215345685,7.234100527761108,( ),9.200122944365965,229.34201179168778,( ),13.861276430283311,176.98884061609397,25.605021288040085,( ),5.132895676357124,( ),72.03489219100065,65.23733696721777,121.42208717427116
Unnamed: 23,2012–2014,Argovie,Pct,0.0006882908737452704,0.005208219282451932,0.0009286985753296698,0.0048947437833779155,0.0007103651875391468,( ),0.0009034222064896298,0.02252064103779171,( ),0.0013611323471582426,0.01737972958408681,0.0025143299681034087,( ),0.000504033692338359,( ),0.007073592564030819,0.006406094708171648,0.011923254784190929
Unnamed: 24,2012–2014,Tessin,Tot,4.455537802584808,41.45140993803468,6.982237721306293,41.962996193979166,5.120541376851193,( ),5.274062536121527,196.6931056188055,( ),( ),200.18009331929537,12.468211546137319,( ),3.3265832842008383,( ),22.658894854333884,80.14211909444118,135.10370699854082
Unnamed: 26,2012–2014,Tessin,Pct,0.0005081661197989755,0.004727645254448906,0.000796343069582277,0.004785993048619787,0.0005840115734704386,( ),0.0006015210763116417,0.022433379920047472,( ),( ),0.022831080284864642,0.001422033200696379,( ),0.00037940580792284633,( ),0.0025843081547596526,0.009140425128715846,0.015408942668172857
Unnamed: 27,2012–2014,Vaud,Tot,6.332994780853171,58.52058993529882,9.902817340805756,50.87618900120348,4.672430269321849,1.0018515068631422,7.720961852961692,189.28847926357665,( ),( ),175.63376418897298,29.63280656150522,2.0717869876273225,8.211468690075964,( ),62.44655242628781,82.23404806775864,119.16054067144819
Unnamed: 29,2012–2014,Vaud,Pct,0.0006231570178313012,0.005758336706049902,0.0009744221076704033,0.005006139324867802,0.0004597600050861012,9.858065874523346e-05,0.0007597308587127345,0.018625697372171464,( ),( ),0.017282094255530366,0.0029158229251456465,0.0002038606765782948,0.0008079959826263239,( ),0.006144645421382943,0.00809170478286684,0.011725215279268161
Unnamed: 30,2012–2014,Genève,Tot,( ),56.2998102874758,5.699091550477537,44.87520643992746,3.1380839804305185,( ),7.397381847551513,( ),( ),( ),139.13973175713744,28.53285091839057,4.649041335486711,10.778499498362644,( ),38.999131115527845,93.26610984465323,108.63221252797958
Unnamed: 32,2012–2014,Genève,Pct,( ),0.004688947550822351,0.00047465064679744787,0.0037374457969701854,0.0002613563193051791,( ),0.000616093292667639,( ),( ),( ),0.011588296676549238,0.0023763675356740736,0.0003871968817015999,0.0008976907482693651,( ),0.0032480550004452377,0.0077676975303787,0.009047468264503108
