annee,canton,Total,Constructions,Améliorations,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere,Depense_habitants
1998,Suisse centrale,166485.0,2436,47711,7418,17982,75911,9129.0,5898,250
1998,Suisse du Nord-Ouest,205191.0,12706,50528,9911,16928,94456,13010.0,7652,254
1998,Suisse orientale,346365.0,25071,85670,3020,40899,156777,19441.0,15487,334
1998,Tessin,66915.0,4890,15405,548,5350,28465,3976.0,8281,233
1998,Thurgovie,51481.0,1894,17860,354,5906,20519,4221.0,727,228
1998,Total,2094175.0,89933,471320,37517,192282,1018521,116913.0,167689,302
1998,Uri,4919.0,104,2216,74,415,1884,226.0,0,142
1998,Valais,98712.0,10689,22869,5819,6129,45105,3530.0,4571,365
1998,Vaud,189836.0,1678,25081,517,21453,111070,7290.0,22747,306
1998,Zoug,24674.0,587,7697,721,3216,10171,903.0,1379,258
1998,Zurich,406283.0,7603,98460,2981,31832,183971,30391.0,51045,338
1999,Appenzell Rh.-Ext.,13462.0,82,1742,17,1746,8867,1008.0,0,252
1999,Appenzell Rh.-Int.,4785.0,257,1396,44,763,2018,234.0,72,330
1999,Argovie,123782.0,7864,23690,74,11733,66332,8052.0,6037,231
1999,Berne,305240.0,15490,51445,2237,19654,166245,19414.0,30756,321
1999,Bâle-Campagne,79468.0,4474,17521,1140,4432,44273,6712.0,916,311
1999,Bâle-Ville   2),7996.0,302,2648,82,355,3814,795.0,0,371
1999,Espace Mittelland,524402.0,30967,102009,6248,32710,282896,31425.0,38149,316
1999,Fribourg,77015.0,3454,25317,1239,4074,37601,3971.0,1359,328
1999,Genève,101270.0,5071,12945,161,12212,53621,3647.0,13614,251
1999,Glaris,10251.0,140,1458,196,1318,6563,576.0,0,271
1999,Grisons,109949.0,4687,23035,2310,11137,58560,5371.0,4849,586
1999,Jura,22415.0,2857,7409,388,614,9176,1143.0,828,333
1999,Lucerne,94826.0,10450,15182,1434,8586,49646,5698.0,3831,276
1999,Neuchâtel,60244.0,2397,9162,148,3572,37906,3456.0,3604,363
1999,Nidwald,7737.0,402,2153,5,716,4010,450.0,0,212
1999,Obwald,11720.0,247,2815,521,1637,5895,566.0,39,367
1999,Région lémanique,430640.0,34626,65675,4173,29551,238555,17309.0,40752,335
1999,Saint-Gall,161557.0,6795,30064,1315,20434,87987,10198.0,4764,362
1999,Schaffhouse,24068.0,1942,4771,324,1679,11021,1918.0,2414,329
1999,Schwytz,41005.0,1707,12974,1881,5160,16555,2668.0,59,324
1999,Soleure,59488.0,6769,8676,2236,4796,31968,3441.0,1602,246
1999,Suisse centrale,187676.0,14469,40581,4586,19797,92174,10758.0,5310,280
1999,Suisse du Nord-Ouest,211246.0,12640,43859,1296,16520,114419,15559.0,6953,260
1999,Suisse orientale,379362.0,21140,74773,5391,41137,201468,22766.0,12687,365
1999,Tessin,79073.0,8832,16803,665,4121,34890,4543.0,9217,276
1999,Thurgovie,55290.0,7237,12307,1185,4060,26452,3461.0,588,244
1999,Total,2214044.0,135143,424474,23790,167975,1168189,130545.0,163926,310
1999,Uri,4638.0,0,1005,13,487,2777,356.0,0,134
1999,Valais,105571.0,19685,16765,3355,6664,50045,5129.0,3928,406
1999,Vaud,223799.0,9870,35965,657,10675,134889,8533.0,23210,359
1999,Zoug,27750.0,1663,6452,732,3211,13291,1020.0,1381,286
1999,Zurich,401643.0,12468,80772,1431,24140,203787,28187.0,50858,332
