annee,canton,Total,Constructions,Amélio-,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere
1997,Zentralschweiz,159992.0,2100,59696,2709,15416,44109,11666.0,24294
1997,Zoug,26995.0,2052,10520,182,330,6204,3342.0,4365
1997,Zurich,156813.0,13862,17035,5709,23437,59474,6144.0,31151
1998,Appenzell Rh.-Ext.,28004.0,508,14452,756,2383,5519,1487.0,2899
1998,Appenzell Rh.-Int.,5510.0,775,1640,29,312,1273,1001.0,480
1998,Argovie,79562.0,4441,42058,-1124,6887,16166,4537.0,6597
1998,Berne,177401.0,9569,53669,0,19515,58730,7856.0,28062
1998,Bâle-Campagne,127188.0,60114,20639,2669,12600,16929,3166.0,11071
1998,Bâle-Ville,72533.0,1347,10391,219,5074,37600,2329.0,15573
1998,Espace Mittelland,361763.0,41334,99550,3323,28973,106546,23924.0,58113
1998,Fribourg,55291.0,2765,16944,1162,3122,14123,5226.0,11949
1998,Genève,49309.0,22,8854,1019,5220,19071,3114.0,12009
1998,Glaris,10523.0,0,2617,311,826,2842,1159.0,2768
1998,Grisons,201385.0,0,107183,2311,30564,44657,6013.0,10657
1998,Jura,25165.0,8480,1532,72,3532,6675,1534.0,3340
1998,Lucerne,61710.0,0,16126,2500,11066,16249,3611.0,12158
1998,Neuchâtel,60856.0,20520,7597,2123,2323,14040,5973.0,8280
1998,Nidwald,10076.0,0,2135,140,834,4834,376.0,1757
1998,Obwald,3636.0,0,125,13,822,1125,389.0,1162
1998,Région lémanique,262478.0,9386,61151,8361,24305,96603,16392.0,46280
1998,Schaffhouse,12719.0,76,3082,19,862,4776,1569.0,2335
1998,Schwytz,35532.0,0,19254,188,1392,7495,2307.0,4896
1998,Soleure,43050.0,0,19808,-34,481,12978,3335.0,6482
1998,St. Gall,96392.0,18025,28664,6890,12033,18512,1394.0,10874
1998,Suisse centrale,425880.0,40402,184443,10110,49652,91034,13655.0,36584
1998,Suisse du Nord-Ouest,279283.0,65902,73088,1764,24561,70695,10032.0,33241
1998,Tessin,148645.0,59640,40340,2365,5660,31887,5256.0,3497
1998,Thurgovie,71347.0,21018,26805,-206,2672,13455,1032.0,6571
1998,Total,1800012.0,231201,537791,33204,186112,484823,86270.0,240611
1998,Uri,24224.0,118,7681,119,3695,6679,1549.0,4383
1998,Valais,116149.0,0,38040,6759,10824,37191,7071.0,16264
1998,Vaud,97020.0,9364,14257,583,8261,40341,6207.0,18007
1998,Zentralschweiz,165460.0,1240,59595,3103,17749,42683,11693.0,29397
1998,Zoug,30282.0,1122,14274,143,-60,6301,3461.0,5041
1998,Zurich,156503.0,13297,19624,4178,35212,45375,5318.0,33499
1999,Appenzell Rh.-Ext.,32556.0,1576,16893,1062,2287,6099,1623.0,3016
1999,Appenzell Rh.-Int.,7114.0,538,3045,57,237,1703,1036.0,498
1999,Argovie,132011.0,25330,68990,1907,9802,17356,3064.0,5562
1999,Berne,216682.0,24245,93087,0,19233,45710,7440.0,26967
1999,Bâle-Campagne,108092.0,37855,22611,2515,14166,16387,3671.0,10887
1999,Bâle-Ville,83096.0,3232,13987,157,5418,42321,2636.0,15345
