,agglo_index,agglo,type_index,type,2011,2012,2013,2014
91,371901.0,Biel/Bienne: ville-centre,3.0,Homicides pour 10'000 habitants,0.39,0.0,0.0,0.0
92,371901.0,Biel/Bienne: ville-centre,4.0,Vols de voitures,22.0,15.0,18.0,17.0
93,371901.0,Biel/Bienne: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.43,0.29,0.34,0.32
94,371901.0,Biel/Bienne: ville-centre,6.0,Vols par effraction dans les logements,219.0,223.0,226.0,198.0
95,371901.0,Biel/Bienne: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,4.28,4.32,4.32,3.73
96,371901.0,Biel/Bienne: ville-centre,8.0,Personnes tuées dans les accidents de la route,2.0,1.0,2.0,0.0
97,371901.0,Biel/Bienne: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.39,0.19,0.38,0.0
98,371901.0,Biel/Bienne: ville-centre,10.0,Blessés graves dans les accidents de la route,35.0,28.0,25.0,34.0
99,371901.0,Biel/Bienne: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,6.84,5.42,4.78,6.41
100,371910.0,Biel/Bienne: ceinture de l'agglomération,2.0,Homicides,0.0,0.0,0.0,0.0
101,371910.0,Biel/Bienne: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.0
102,371910.0,Biel/Bienne: ceinture de l'agglomération,4.0,Vols de voitures,12.0,12.0,10.0,5.0
103,371910.0,Biel/Bienne: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.29,0.29,0.24,0.12
104,371910.0,Biel/Bienne: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,146.0,106.0,175.0,115.0
105,371910.0,Biel/Bienne: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,3.56,2.57,4.2,2.72
106,371910.0,Biel/Bienne: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,1.0,1.0,0.0,0.0
107,371910.0,Biel/Bienne: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.24,0.24,0.0,0.0
108,371910.0,Biel/Bienne: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,28.0,14.0,29.0,21.0
109,371910.0,Biel/Bienne: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,6.83,3.39,6.96,4.98
110,371920.0,Biel/Bienne: agglomération,2.0,Homicides,2.0,0.0,0.0,0.0
111,371920.0,Biel/Bienne: agglomération,3.0,Homicides pour 10'000 habitants,0.22,0.0,0.0,0.0
112,371920.0,Biel/Bienne: agglomération,4.0,Vols de voitures,34.0,27.0,28.0,22.0
113,371920.0,Biel/Bienne: agglomération,5.0,Vols de voitures pour 1000 habitants,0.37,0.29,0.3,0.23
114,371920.0,Biel/Bienne: agglomération,6.0,Vols par effraction dans les logements,365.0,329.0,401.0,313.0
115,371920.0,Biel/Bienne: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,3.96,3.54,4.27,3.29
116,371920.0,Biel/Bienne: agglomération,8.0,Personnes tuées dans les accidents de la route,3.0,2.0,2.0,0.0
117,371920.0,Biel/Bienne: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.33,0.22,0.21,0.0
118,371920.0,Biel/Bienne: agglomération,10.0,Blessés graves dans les accidents de la route,63.0,42.0,54.0,55.0
